i=301 x=-0,267331708531335; y=0,422532552135001
i=302 x=-0,259740712757283; y=0,42724087133178
i=303 x=-0,251800059789552; y=0,431968436219567
i=304 x=-0,243496748600585; y=0,436702797587723
i=305 x=-0,234818752033574; y=0,441429670155275
i=306 x=-0,225755416281657; y=0,446132818810156
i=307 x=-0,216297912098599; y=0,450793980906785
i=308 x=-0,206439726638112; y=0,455392840595438
i=309 x=-0,196177176873816; y=0,459907072432921
i=310 x=-0,185509916820258; y=0,464312471037922
i=311 x=-0,174441402555758; y=0,468583180528687
i=312 x=-0,162979273169484; y=0,472692031366244
i=313 x=-0,151135604339297; y=0,476610982984022
i=314 x=-0,138926996150426; y=0,480311658968028
i=315 x=0,924055578506955; y=0,367642535583074
i=316 x=0,922408414759966; y=0,358071011471583
i=317 x=0,921036685738218; y=0,348915115548162
i=318 x=0,919929193739154; y=0,340157402088247
i=319 x=0,919075983758941; y=0,331781180577411
i=320 x=0,918468267638537; y=0,323770383778399
i=321 x=0,918098349435593; y=0,316109434810654
i=322 x=0,917959548151666; y=0,30878311225329
i=323 x=0,918046113341805; y=0,301776413116513
i=324 x=0,918353128587266; y=0,295074414790749
i=325 x=0,918876397537739; y=0,28866213887461
i=326 x=0,919612307557992; y=0,282524422114203
i=327 x=0,920557667374703; y=0,276645802384002
i=328 x=0,921709517940085; y=0,271010430226396
i=329 x=0,923064920217355; y=0,265602018093636
i=330 x=0,924620729418247; y=0,260403838980372
i=331 x=0,92637337124255; y=0,255398782588014
i=332 x=0,928318639974284; y=0,250569470271661
i=333 x=0,930451538818957; y=0,245898420890636
i=334 x=0,932766178469287; y=0,241368250780814
i=335 x=0,935255741255951; y=0,236961885340173
i=336 x=0,937912507883759; y=0,232662759136243
i=337 x=0,940727934873542; y=0,22845498595917
i=338 x=0,94369276577002; y=0,224323487913222
i=339 x=0,946797158515695; y=0,220254080770191
i=340 x=0,950030814124878; y=0,216233519248471
i=341 x=0,953383096206754; y=0,212249509677811
i=342 x=0,956843135430575; y=0,208290698801208
i=343 x=0,96039991674991; y=0,204346646981538
i=344 x=0,964042349770659; y=0,200407792651882
i=345 x=0,967759324132355; y=0,196465413126779
i=346 x=0,971539752430399; y=0,192511585274198
i=347 x=0,975372603321258; y=0,18853914821712
i=348 x=0,979246927258229; y=0,184541669231366
i=349 x=0,983151876966897; y=0,180513413302082
i=350 x=-0,424054008561104; y=0,264911679288134
i=351 x=-0,422822405285471; y=0,266873028964353
i=352 x=-0,42155219355823; y=0,268874967422117
i=353 x=-0,420241717349207; y=0,270918620621377
i=354 x=-0,418889232507009; y=0,273005148101073
i=355 x=-0,417492901275466; y=0,275135743560508
i=356 x=-0,416050786429107; y=0,277311635370249
i=357 x=-0,414560844999618; y=0,279534086996922
i=358 x=-0,413020921563146; y=0,281804397323976
i=359 x=-0,411428741056261; y=0,284123900847607
i=360 x=-0,409781901086126; y=0,286493967724
i=361 x=-0,408077863698195; y=0,288916003640361
i=362 x=-0,406313946562325; y=0,2913914494781
i=363 x=-0,404487313535886; y=0,293921780731749
i=364 x=-0,402594964560002; y=0,296508506641766
