i=500 x=-0,388794672923939; y=6,38663881432826
i=501 x=-0,388652900070533; y=6,38702576821243
i=502 x=-0,388549026823425; y=6,38739447146574
i=503 x=-0,388478754003216; y=6,38774335850767
i=504 x=-0,388438013778787; y=6,38807139499256
i=505 x=-0,388423004114208; y=6,38837799509242
i=506 x=1,49657236606915; y=2,3727799483429
i=507 x=1,47778056030789; y=2,3253294260497
i=508 x=1,45967850670181; y=2,27834415693956
i=509 x=1,44226597135353; y=2,23182149163347
i=510 x=1,42554431701981; y=2,18575776376239
i=511 x=1,40951647421913; y=2,14014829175704
i=512 x=1,39418691235133; y=2,0949873680216
i=513 x=1,3795616108891; y=2,05026823670155
i=514 x=1,36564803045038; y=2,00598306113823
i=515 x=1,35245508334152; y=1,96212288201949
i=516 x=1,33999310296922; y=1,91867756719834
i=517 x=1,32827381134926; y=1,87563575416469
i=518 x=1,31731028379522; y=1,83298478622894
i=519 x=1,30711690975524; y=1,79071064361725
i=520 x=1,29770934869001; y=1,74879787089298
i=521 x=1,28910447986762; y=1,70722950241169
i=522 x=1,28132034501187; y=1,66598698788751
i=523 x=1,2743760829065; y=1,62505012059049
i=524 x=1,26829185536004; y=1,58439697118989
i=525 x=1,26308876440359; y=1,54400383077953
i=526 x=1,25878876125248; y=1,50384516712207
i=527 x=1,25541454842519; y=1,46389359857155
i=528 x=1,25298947747057; y=1,42411989040415
i=529 x=1,25153744596799; y=1,38449297832879
i=530 x=1,25108279875893; y=1,34498002369205
i=531 x=1,25165023962689; y=1,30554650429157
i=532 x=1,25326476071761; y=1,26615634377041
i=533 x=1,25595159772133; y=1,22677208134864
i=534 x=1,25973621907361; y=1,18735508230053
i=535 x=1,26464435706506; y=1,14786578832049
i=536 x=1,27070208775437; y=1,10826400600684
i=537 x=1,27793596501206; y=1,06850923141511
i=538 x=1,28637321202873; y=1,02856100925845
i=539 x=1,29604197140134; y=0,988379327073785
i=540 x=1,30697161266738; y=0,947925047677185
i=541 x=1,31919309404089; y=0,907160387601632
i=542 x=1,33273937315559; y=0,866049455044861
i=543 x=1,34764585972069; y=0,824558868329084
i=544 x=1,36395090082407; y=0,782658485328066
i=545 x=1,3816962866085; y=0,740322286364572
i=546 x=1,40092775930066; y=0,697529468748253
i=547 x=1,42169550070816; y=0,654265832023755
i=548 x=1,44405456016541; y=0,610525561600672
i=549 x=1,46806516305489; y=0,566313558483055
